Period (s), SA (ms2)
1.04167E-01, 6.86243E-02
1.03806E-01, 6.84671E-02
1.03448E-01, 6.83311E-02
1.03093E-01, 6.82170E-02
1.02740E-01, 6.81261E-02
1.02389E-01, 6.80604E-02
1.02041E-01, 6.80218E-02
1.01695E-01, 6.80116E-02
1.01351E-01, 6.80306E-02
1.01010E-01, 6.80784E-02
1.00671E-01, 6.81541E-02
1.00334E-01, 6.82562E-02
1.00000E-01, 6.83832E-02
9.96678E-02, 6.85335E-02
9.93377E-02, 6.87063E-02
9.90099E-02, 6.89013E-02
9.86842E-02, 6.91191E-02
9.83607E-02, 6.93608E-02
9.80392E-02, 6.96276E-02
9.77199E-02, 6.99210E-02
9.74026E-02, 7.02415E-02
9.70874E-02, 7.05894E-02
9.67742E-02, 7.09635E-02
9.64630E-02, 7.13622E-02
9.61538E-02, 7.17828E-02
9.58466E-02, 7.22223E-02
9.55414E-02, 7.26775E-02
9.52381E-02, 7.31450E-02
9.49367E-02, 7.36216E-02
9.46372E-02, 7.41042E-02
9.43396E-02, 7.45894E-02
9.40439E-02, 7.50736E-02
9.37500E-02, 7.55525E-02
9.34579E-02, 7.60212E-02
9.31677E-02, 7.64737E-02
9.28793E-02, 7.69035E-02
9.25926E-02, 7.73032E-02
9.23077E-02, 7.76653E-02
9.20245E-02, 7.79824E-02
9.17431E-02, 7.82473E-02
9.14634E-02, 7.84538E-02
9.11854E-02, 7.85964E-02
9.09091E-02, 7.86711E-02
9.06344E-02, 7.86752E-02
9.03614E-02, 7.86074E-02
9.00901E-02, 7.84685E-02
8.98204E-02, 7.82606E-02
8.95522E-02, 7.79879E-02
8.92857E-02, 7.76563E-02
8.90208E-02, 7.72733E-02
8.87574E-02, 7.68478E-02
8.84956E-02, 7.63897E-02
8.82353E-02, 7.59096E-02
8.79765E-02, 7.54186E-02
8.77193E-02, 7.49275E-02
8.74636E-02, 7.44469E-02
8.72093E-02, 7.39868E-02
8.69565E-02, 7.35562E-02
8.67052E-02, 7.31632E-02
8.64553E-02, 7.28147E-02
8.62069E-02, 7.25165E-02
8.59599E-02, 7.22728E-02
8.57143E-02, 7.20866E-02
8.54701E-02, 7.19596E-02
8.52273E-02, 7.18916E-02
8.49858E-02, 7.18813E-02
8.47458E-02, 7.19256E-02
8.45070E-02, 7.20203E-02
8.42697E-02, 7.21595E-02
8.40336E-02, 7.23364E-02
8.37989E-02, 7.25433E-02
8.35655E-02, 7.27714E-02
8.33333E-02, 7.30119E-02
8.31025E-02, 7.32557E-02
8.28729E-02, 7.34936E-02
